No.,Channel Alias,Carrier Squelch Level,Channel Spacing [KHz],Personality List,Scan/Roam/Vote List,Auto Start Scan,Rx Only,Talk Around,Lone Worker,VOX,Receive Frequency [MHz],Rx CTCSS/CDCSS Type,CTCSS/CDCSS Type,Rx Ref Frequency,Rx Squelch Mode,Monitor Squelch Mode,Channel Switch Squelch Mode,Transmit Frequency [MHz],Tx CTCSS/CDCSS Type,CTCSS/CDCSS Type,Tx Ref Frequency,Power Level,Tx Admit,Emergency System,CTCSS Tail Revert,Tx Time-Out Time [s],TOT Re-Key Time [s],TOT Pre-Alert Time [s],CTCSS Tail Revert Option [Radians],Scan/Roam/Vote Mode,Auto Start Roam,Auto Start Voting
31,Spare GPS 32,Normal,12.5,Personality 1,None,Off,Off,Off,Off,Off,450,NONE,NONE,Middle,CTCSS/CDCSS and Audio,Carrier,RX Squelch Mode,450,NONE,NONE,Middle,High,Aways Allow,Analog Sys 1,Off,60,0,0,180,None,Off,Off
32,Spare GPS 33,Normal,12.5,Personality 1,None,Off,Off,Off,Off,Off,450,NONE,NONE,Middle,CTCSS/CDCSS and Audio,Carrier,RX Squelch Mode,450,NONE,NONE,Middle,High,Aways Allow,Analog Sys 1,Off,60,0,0,180,None,Off,Off
33,Spare GPS 34,Normal,12.5,Personality 1,None,Off,Off,Off,Off,Off,450,NONE,NONE,Middle,CTCSS/CDCSS and Audio,Carrier,RX Squelch Mode,450,NONE,NONE,Middle,High,Aways Allow,Analog Sys 1,Off,60,0,0,180,None,Off,Off
34,Spare GPS 35,Normal,12.5,Personality 1,None,Off,Off,Off,Off,Off,450,NONE,NONE,Middle,CTCSS/CDCSS and Audio,Carrier,RX Squelch Mode,450,NONE,NONE,Middle,High,Aways Allow,Analog Sys 1,Off,60,0,0,180,None,Off,Off
35,Spare GPS 36,Normal,12.5,Personality 1,None,Off,Off,Off,Off,Off,450,NONE,NONE,Middle,CTCSS/CDCSS and Audio,Carrier,RX Squelch Mode,450,NONE,NONE,Middle,High,Aways Allow,Analog Sys 1,Off,60,0,0,180,None,Off,Off
36,Spare GPS 37,Normal,12.5,Personality 1,None,Off,Off,Off,Off,Off,450,NONE,NONE,Middle,CTCSS/CDCSS and Audio,Carrier,RX Squelch Mode,450,NONE,NONE,Middle,High,Aways Allow,Analog Sys 1,Off,60,0,0,180,None,Off,Off
37,Spare GPS 38,Normal,12.5,Personality 1,None,Off,Off,Off,Off,Off,450,NONE,NONE,Middle,CTCSS/CDCSS and Audio,Carrier,RX Squelch Mode,450,NONE,NONE,Middle,High,Aways Allow,Analog Sys 1,Off,60,0,0,180,None,Off,Off
38,Spare GPS 39,Normal,12.5,Personality 1,None,Off,Off,Off,Off,Off,450,NONE,NONE,Middle,CTCSS/CDCSS and Audio,Carrier,RX Squelch Mode,450,NONE,NONE,Middle,High,Aways Allow,Analog Sys 1,Off,60,0,0,180,None,Off,Off
39,Spare GPS 40,Normal,12.5,Personality 1,None,Off,Off,Off,Off,Off,450,NONE,NONE,Middle,CTCSS/CDCSS and Audio,Carrier,RX Squelch Mode,450,NONE,NONE,Middle,High,Aways Allow,Analog Sys 1,Off,60,0,0,180,None,Off,Off
40,Spare GPS 41,Normal,12.5,Personality 1,None,Off,Off,Off,Off,Off,450,NONE,NONE,Middle,CTCSS/CDCSS and Audio,Carrier,RX Squelch Mode,450,NONE,NONE,Middle,High,Aways Allow,Analog Sys 1,Off,60,0,0,180,None,Off,Off
